name;birth_year;death_year;about;works
Nikolai Devitte;1811;1844;poet, harpist and songwriter;Not for Me.
Andrei Dmitriev;1956;;novelist and short story writer, winner of the 2012 Russian Booker Prize;
Ivan Dmitriev;1760;1837;sentamentalist poet and Russian Minister of Justice;
Valentina Dmitryeva;1859;1947;writer, doctor and teacher;Hveska, the Doctor's Watchman
Nikolay Dobrolyubov;1836;1861;literary critic, journalist, poet and essayist;
Leonid Dobychin;1894;1936;novelist;The Town of N
Yevgeniy Dolmatovsky;1915;1994;poet and songwriter;
Yury Dombrovsky;1909;1978;writer and Gulag survivor;The Keeper of Antiquities
Vlas Doroshevich;1864;1922;journalist, writer and drama critic;The Way of the Cross
Lyubov Dostoyevskaya;1869;1926;novelist and biographer;The Emigrant
Fyodor Dostoyevsky;1821;1881;writer, essayist, journalist and editor;Notes from Underground,Crime and Punishment,The Idiot,Demons,The Brothers Karamazov,The House of the Dead,The Gambler, 'White Nights', 'A Gentle Creature', 'The Dream of a Ridiculous Man'
Mikhail Dostoyevsky;1820;1864;writer, critic and editor;Vremya
Sergei Dovlatov;1941;1990;novelist, short story writer and journalist;Affiliate
Spiridon Drozhzhin;1848;1930;poet;At the Village Assembly
Yulia Drunina;1924;1991;poet and politician;
Alexander Druzhinin;1824;1864;writer and magazine editor;Polinka Saks
Vladimir Dudintsev;1918;1998;novelist;Not by Bread Alone
Sergey Durov;1816;1869;poet, translator, writer, and political activist;
Nadezhda Durova;1783;1866;soldier and writer;The Cavalry Maiden
Yevgeny Edelson;1824;1868;literary critic, essayist and translator;
Ilya Ehrenburg;1891;1967;novelist and WWII war correspondent;The Black Book,The Thaw
Natan Eidelman;1930;1989;author, biographer and historian;
Grigory Eliseev;1821;1891;essayist, historian, editor, and publisher;
Sergey Elpatyevsky;1854;1933;novelist and short story writer;Pity Me!
Nikolai Engelhardt;1867;1942;writer, critic, poet, journalist and memoirist;
Asar Eppel;1935;;writer and translator;Red Caviar Sandwiches
Nikolai Erdman;1900;1970;playwright;The Suicide
Victor Erofeyev;1947;;writer, literary critic and magazine editor;Russian Beauty
Alexander Ertel;1855;1908;novelist and short story writer;A Greedy Peasant
Mikhail Evstafiev;1963;;artist, photographer and writer;Two Steps from Heaven
Nikolai Evreinov;1879;1953;director, dramatist and theatre practitioner;The Storming of the Winter Palace
Alexander Fadeyev;1901;1956;novelist, known for his war fiction;The Rout,The Young Guard
Konstantin Fedin;1892;1977;novelist;Cities and Years
Georgy Fedotov;1886;1951;religious philosopher, historian and essayist;
Afanasy Fet;1820;1892;poet and translator;
Vera Figner;1852;1942;revolutionary and writer, member of Narodnaya Volya;
Terty Filippov;1825;1899;folklorist, essayist, editor and pedagogue;
Dmitry Filosofov;1872;1940;essayist, critic, religious thinker, editor and political activist;
Konstantin Fofanov;1862;1911;poet, considered to be a precursor of the symbolists;Shadows and Mystery
Denis Fonvizin;1744;1792;dramatist;The Minor
Olga Forsh;1873;1961;writer, dramatist, memoirist and scenarist;Palace and Prison
Ruvim Frayerman;1891;1972;writer, poet, essayist and journalist;Wild Dog Dingo
Dmitry Furmanov;1891;1926;writer, known for his Russian Civil War novel Chapayev;
Cherubina de Gabriak;1887;1928;pseudonymous poet;
Arkady Gaidar;1904;1941;children's writer;Timur and His Squad
Alexey Galakhov;1807;1892;writer, memoirist and literary historian;The History of Russian Literature
Alexander Galich;1918;1977;poet, screenwriter, playwright and singer-songwriter;
Nikolai Garin-Mikhailovsky;1852;1906;writer, essayist and engineer;Practical Training
Vsevolod Garshin;1855;1888;short story writer;The Red Flower
Aleksei Gastev;1882;1939;avant garde poet;
Mikhail Gerasimov;1889;1939;working-class poet;
Yuri German;1910;1967;writer, playwright, screenwriter and journalist;The Cause You Serve
Vladimir Gilyarovsky;1853;1935;writer and journalist;The Stories of the Slums
Lidiya Ginzburg;1902;1990;literary critic and a survivor of the Siege of Leningrad;Blockade Diary
Yevgenia Ginzburg;1904;1977;;Gulag memoirist,Journey into the Whirlwind,Within the Whirlwind
Zinaida Gippius;1869;1945;essayist, memoirist, writer, poet and playwright;The Green Ring
Anatoly Gladilin;1935;;novelist;Moscow Racetrack
Fyodor Gladkov;1883;1958;novelist and short story writer;Cement
Nikolay Glazkov;1919;1979;poet, creator of the term 'Samizdat';
Fyodor Glinka;1786;1880;poet and playwright;Karelia
Boris Glinsky;1860;1917;writer, publicist, publisher, editor and politician;
Dmitry Glukhovsky;1979;;writer and journalist;Metro 2033
Nikolay Gnedich;1784;1833;poet and translator;The Fishers
Pyotr Gnedich;1855;1925;novelist, poet, playwright, translator, theatre entrepreneur and art historian;
Nikolai Gogol;1809;1852;writer and dramatist;Dead Souls,Taras Bulba
Arseny Golenishchev-Kutuzov;1848;1913;poet;Songs and Dances of Death
Boris Golovin;1955;;singer-songwriter, musician, poet and novelist;
Ivan Goncharov;1812;1891;novelist;Oblomov
Natalya Gorbanevskaya;1936;;poet, translator and civil rights activist;
Dmitry Gorchakov;1758;1824;poet, playwright and satirist;
Grigori Gorin;1940;2000;writer, playwright and screenwriter;The Very Same Munchhausen
Maxim Gorky;1868;1936;novelist, short story writer and playwright;The Lower Depths
Nina Gorlanova;1947;;novelist and short story writer;
Sergey Gorodetsky;1884;1967;poet, one of the founders of the acmeist school;
Daniil Granin;1919;;novelist;Those Who Seek
Nikolay Gretsch;1787;1867;journalist, writer and magazine editor;Northern Bee
Aleksander Griboyedov;1795;1828;dramatist and statesman;Woe from Wit
Dmitry Grigorovich;1822;1900;novelist;The Fishermen
Oleg Grigoriev;1943;1992;poet and artist;
Apollon Grigoryev;1822;1864;poet, literary and theatrical critic, translator and memoirist;
Alexander Grin;1880;1932;author of novels and stories set in Grinlandia;Scarlet Sails
Isabella Grinevskaya;1864;1944;poet, writer and playwright;
Vasily Grossman;1905;1964;writer and war correspondent;Life and Fate
Vitali Gubarev;1912;1981;journalist and writer;
Igor Guberman;1936;;writer and satirical poet;
Semyon Gudzenko;1922;1953;poet of the World War II generation;
Lev Gumilev;1912;1992;historian, ethnologist and anthropologist;
Nikolay Gumilev;1886;1921;poet, founder of the acmeist movement;
Elena Guro;1877;1913;futurist writer and painter;The Hurdy-Gurdy
Andrei Gusev;1952;;writer and journalist;The World According to Novikoff
Sergey Gusev-Orenburgsky;1867;1963;novelist;The Land of the Fathers
Alexander Herzen;1812;1870;essayist, novelist, philosopher and magazine editor;Who is to Blame?
Ilf and Petrov;1897;1937;(Petrov 1903–1942), satirical writers;The Twelve Chairs,The Little Golden Calf
Vera Inber;1890;1972;poet and writer;Lalla's Interests
Mikhail Isakovsky;1900;1973;poet and songwriter;Katyusha
Alexei Ivanov;1969;;novelist and screenwriter;
Georgy Ivanov;1894;1958;poet and essayist;
Vsevolod Ivanov;1895;1963;writer and playwright;Armoured Train 14-69
Vyacheslav Ivanov;1866;1949;poet, playwright, philosopher, translator and literary critic;
Yuri Ivask;1907;1986;poet, essayist, literary critic and historian;
Ryurik Ivnev;1891;1981;poet, novelist and translator;
Sergey Izgiyayev;1922;1972;poet, playwright and translator;
Alexander Izmaylov;1779;1831;fabulist, poet and novelist;
Gavril Kamenev;1772;1803;poet, writer and translator;
Vasily Kamensky;1884;1961;poet, playwright and artist, one of the first Russian aviators;
Antiochus Kantemir;1708;1744;writer and poet;On the Envy and Pride of Evil-Minded Courtiers
Nikolay Karamzin;1766;1826;poet, writer and historian;Poor Liza
Alexander Karasyov;1971;;writer;Russian War Prose
Pyotr Karatygin;1805;1879;playwright, actor and memoirist;
Nikolay Karazin;1842;1908;painter and writer;The Two-Legged Wolf
Nikolay Karonin-Petropavlovsky;1853;1892;narodnik writer;First Storm
Vladimir Karpov;1922;2010;novelist and magazine editor;The Commander
Vasily Kapnist;1758;1823;poet and playwright;Chicane
Lev Kassil;1905;1970;writer of juvenile and young adult literature;
Ivan Kataev;1902;1937;novelist and short story writer;Immortality
Valentin Kataev;1897;1986;writer and playwright;Time,Forward!
Pavel Katenin;1792;1853;classicist poet, dramatist and literary critic;
Mikhail Katkov;1818;1887;journalist and publicist;Moscow News
Veniamin Kaverin;1902;1989;novelist;The Two Captains
Emmanuil Kazakevich;1913;1962;writer, poet and playwright;The Blue Notebook
Yury Kazakov;1927;1982;short story writer;Going To Town
Rimma Kazakova;1932;2008;poet;Let's Meet in the East
Dmitri Kedrin;1907;1945;poet;Confession
Yuri Khanon;1965;;novelist and eccentric;Skryabin As a Face
Mark Kharitonov;1937;;writer, poet, and translator;Lines of Fate
Yevgeny Kharitonov;1941;1981;writer, poet, playwright and theater director;
Daniil Kharms;1905;1942;absurdist writer;The Old Woman
Ivan Khemnitser;1745;1784;satirical poet;The Rich Man and the Poor Man
Mikhail Kheraskov;1733;1807;poet, writer and playwright;Vladimir Reborn
Velimir Khlebnikov;1885;1922;futurist poet and author;Incantation by Laughter
Nikolai Khmelnitsky;1789;1845;playwright, literary critic and translator;Chatterbox
Vladislav Khodasevich;1886;1939;poet and literary critic;
Aleksey Khomyakov;1804;1860;poet, co-founder of the slavophile movement;
Nadezhda Khvoshchinskaya;1824;1889;writer, critic and translator;The Boarding-School Girl
Ivan Kireyevsky;1806;1856;writer, co-founder of the slavophile movement;
Dmitry Khvostov;1757;1835;poet and fabulist;
Vladimir Kirshon;1902;1938;playwright;The Miraculous Alloy
Marusya Klimova;1961;;writer and translator;
Nikolai Klyuev;1884;1937;peasant poet;A Northern Poem
Yakov Knyazhnin;1740;1791;playwright, poet and translator;The Braggart
Vsevolod Kochetov;1912;1973;novelist and journalist;The Zhurbin Family
Pavel Kogan;1918;1942;poet and military interpreter;
Ivan Kokorev;1825;1853;short story writer and essayist;
Alexandra Kollontai;1872;1952;writer, feminist and important political figure;Love of Worker Bees
Aleksey Koltsov;1809;1842;poet;An Old Man's Song
Mikhail Koltsov;1898;1940;journalist and satirist;
Fyodor Koni;1809;1889;dramatist, theatre critic, literary historian, editor and memoirist;
Lev Kopelev;1912;1997;writer, journalist and dissident;
Oleksandr Korniychuk;1905;1972;playwright, literary critic and state official;In the Steppes of Ukraine
Vladimir Korolenko;1853;1921;writer and memoirist;The Blind Musician
Nestor Kotlyarevsky;1863;1925;writer, publicist, literary critic and historian;The Nineteenth Century
Arkady Kots;1872;1943;poet and translator;Proletarian Songs
Yury Koval;1938;1995;writer and artist;
Sofia Kovalevskaya;1859;1891;writer and mathematician;Nihilist Girl
Vadim Kozhevnikov;1909;1984;novelist and short story writer;Shield and Sword
Nadezhda Kozhevnikova;1949;;writer and journalist;Attorney Alexandra Tikhonovna
Ivan Kozlov;1779;1840;poet and translator;The Monk
Eugene Kozlovsky;1946;;writer, journalist, theatre director and film director;
Vasili Krasovsky;1782;1824;poet;Scrolls of the Muse
Andrey Krayevsky;1810;1889;journalist, publicist, publisher and editor;Otechestvennye Zapiski
Vsevolod Krestovsky;1840;1895;writer;Knights of Industry
Peter Kropotkin;1842;1921;writer and anarchist theorist;In Russian and French Prisons
Aleksei Kruchenykh;1886;1968;futurist poet, co-creator of the literary concept 'Zaum';
Vladimir Krupin;1941;;writer, editor and religious author;Aqua Vitae
Ivan Krylov;1769;1844;major fabulist and dramatist;
Gleb Krzhizhanovsky;1872;1959;poet, author of the Russian version of the Warszawianka;
Sigizmund Krzhizhanovsky;1887;1950;short story writer;Quadraturin
Anatoly Kudryavitsky;1954;;poet and novelist;
Pyotr Kudryavtsev;1816;1858;writer, historian, literary critic, philologist and journalist;
Nestor Kukolnik;1809;1868;playwright, poet and librettist;A Life for the Tsar
Aleksandr Kuprin;1870;1938;novelist and short story writer;The Duel
Wilhelm Küchelbecker;1797;1846;poet and magazine editor;Mnemozina
Nikolai Kurochkin;1830;1884;poet, editor, translator and essayist;
Vasily Kurochkin;1831;1875;satirical poet, journalist and translator;
Vladimir Kurochkin;1829;1885;dramatist, translator, editor and publisher;
Ivan Kushchevsky;1847;1876;writer;Nikolai Negorev
Alexander Kushner;1936;;poet and essayist;The First Impression
Dmitry Kuzmin;1968;;poet, critic and publisher;
Mikhail Kuzmin;1872;1936;poet and novelist;Wings
Anatoly Kuznetsov;1929;1979;novelist;Babi Yar: A Document in the Form of a Novel
Lazar Lagin;1903;1979;satirist and children's writer;Old Khottabych
Yulia Latynina;1966;;writer and journalist;The Insider
Boris Lavrenyov;1891;1959;writer and playwright;Such a Simple Thing
Pyotr Lavrov;1823;1900;prominent theorist of narodism, philosopher, publicist and sociologist;
Ivan Lazhechnikov;1792;1869;historical novelist;The Heretic
Vasily Lebedev-Kumach;1898;1949;poet and lyricist;Serdtse
Leonid Leonov;1899;1994;major novelist and short story writer;The Thief
Konstantin Leontiev;1831;1891;philosopher and essayist;
Mikhail Lermontov;1814;1841;major poet, playwright and novelist;A Hero of Our Time
Nikolai Leskov;1831;1895;writer and journalist;Lady MacBeth of the Mtensk District
Alexander Levitov;1835;1877;short story writer;Leatherhide the Cobbler
Nikolay Leykin;1841;1906;writer and publisher;Fragments Magazine
Vladimir Lichutin;1940;;writer and essayist;
Viktor Likhonosov;1936;;writer and editor;Unwritten Memoirs. Our Little Paris.
Eduard Limonov;1943;;writer and dissident;Memoirs of a Russian Punk
Dmitri Lipskerov;1964;;writer and playwright;The Forty Years of Changzhoeh
Mirra Lokhvitskaya;1869;1905;poet and playwright;
Mikhail Lomonosov;1711;1765;polymath, scientist, writer and linguistic reformer;
Vladimir Lugovskoy;1901;1957;constructivist poet;
Sergey Lukyanenko;1968;;popular science-fiction and fantasy author;The Stars Are Cold Toys
Anatoly Lunacharsky;1875;1933;journalist and publicist;
Lev Lunts;1901;1924;writer, playwright, essayist and critic, member of the Serapion Brothers;
Grigori Machtet;1852;1901;novelist, short story writer and poet;
Vladimir Makanin;1937;;novelist and short story writer;Antileader
Sergey Malitsky;1962;;fantasy fiction writer;
Dmitry Mamin-Sibiryak;1852;1912;novelist;The Privalov Fortune
Nadezhda Mandelstam;1899;1980;writer and memoirist;Hope Against Hope,Hope Abandoned
Osip Mandelstam;1891;1938;poet and writer, member of the acmeist school;The Stone
Anatoly Marienhof;1897;1962;novelist, poet and playwright;A Novel Without Lies
Alexandra Marinina;1957;;writer of detective stories;
Evgeny Markov;1835;1903;writer, critic and ethnographer;Black Earth Field
Maria Markova;1982;;poet;
Boleslav Markevich;1822;1884;writer, essayist, journalist, literary critic and translator;
Samuil Marshak;1887;1964;writer, translator and children's poet;The Twelve Months
Vladilen Mashkovtsev;1929;1997;poet, writer and journalist;
Mikhail Matinsky;1750;1820;scientist, dramatist, librettist and opera composer;
Vladimir Mayakovsky;1893;1930;futurist poet, writer and playwright;Mystery-Bouffe
Apollon Maykov;1821;1897;poet and translator;
Valerian Maykov;1823;1847;literary critic, brother of Apollon Maykov;
Vasily Maykov;1728;1778;poet, fabulist, playwright and translator;
Lev Mei;1822;1862;poet and playwright;The Tsar's Bride
Pavel Melnikov;1818;1883;ethnographical novelist;In the Forests
Dmitry Merezhkovsky;1866;1941;poet and novelist, founder of the symbolist movement in Russia;Christ and Antichrist
Aleksey Merzlyakov;1778;1830;poet, critic, translator and professor;
Arvo Mets;1937;1997;poet and translator;Resemblance
Alexander Mezhirov;1923;2009;poet, translator and critic;
Sergey Mikhalkov;1913;2009;children's writer, satirist and songwriter, author of the National Anthem of the Soviet Union;
Nikolay Mikhaylovsky;1842;1904;publicist, literary critic, sociologist and narodnik theoretician;
Dmitry Minayev;1835;1889;satirical poet, journalist, translator and literary critic;
Nikolai Minsky;1855;1937;poet, writer and translator;From the Gloom to the Light
Boris Mozhayev;1923;1996;writer, playwright, script-writer and editor;Alive
Daniil Mordovtsev;1830;1905;writer and historian of Ukrainian descent;
Yunna Morits;1937;;poet and artist;The Vine
Sergey Mstislavsky;1876;1943;writer, dramatist, publicist, anthropologist, editor and political activist;
Viktor Muyzhel;1880;1924;writer and painter;
Viktor Muravin;1929;;novelist;The Diary of Vikenty Angarov
Vladimir Nabokov;1899;1977;poet and novelist, wrote first in Russian, then in English, author of Lolita;
Nikolai Nadezhdin;1804;1856;literary critic and ethnographer;
Semyon Nadson;1862;1887;poet;Pity the Stately Cypress Trees
Yuri Nagibin;1920;1994;novelist, short story writer and screenwriter;
Vladimir Narbut;1888;1938;acmeist poet and magazine editor;
Vasily Narezhny;1780;1825;novelist;A Russian Gil Blas
Sergey Narovchatov;1919;1981;writer and magazine editor;Novy Mir
Filipp Nefyodov;1838;1902;writer, journalist, editor, ethnographer and archeologist;Among People
Nikolay Nekrasov;1821;1878;major poet and magazine editor;Who Can be Happy and Free in Russia?
Viktor Nekrasov;1911;1987;novelist;Front-line Stalingrad
Viktor Nekipelov;1928;1989;poet, writer and dissident;
Miroslav Nemirov;1961;2016;poet and songwriter;
Vasily Nemirovich-Danchenko;1845;1936;novelist, essayist and war correspondent;
Vladimir Nemirovich-Danchenko;1858;1943;theatre director, writer and playwright, co-founder of the Moscow Art Theatre;
Löb Nevakhovich;1776;1831;;Russia-Jewish writer and playwright
Alexander Neverov;1886;1923;writer and playwright;City of Bread
Friedrich Neznansky;1932;2013;crime novelist;Red Square
Ivan Nikitin;1824;1861;poet and writer;Kulak
Nikolai Nikolev;1758;1815;poet and playwright;
Pavel Nilin;1908;1981;writer, journalist and playwright;Man Goes Uphill
Nikolay Nosov;1908;1976;children's writer;Neznaika
Yevgeny Nosov;1925;2002;writer;Usvyat Warriors
Osip Notovich;1849;1914;publisher, playwright and essayist;
Alexey Novikov-Priboy;1877;1944;novelist and short story writer;The Captain
Vladimir Obruchev;1863;1956;science fiction writer;Sannikov Land
Olga Obukhova;1941;;journalist, writer and translator;
Alexander Odoevsky;1802;1839;poet and playwright, activist of the Decembrist Revolt;
Vladimir Odoevsky;1803;1869;philosopher, writer, music critic, philanthropist and pedagogue;The Living Corpse
Irina Odoyevtseva;1895;1990;poet, novelist and memoirist;
Nikolay Ogarev;1813;1877;poet, historian and political activist;
Bulat Okudzhava;1924;1997;poet, writer and singer-songwriter;The Art of Needles and Sins
Yury Olesha;1899;1960;satirical novelist;Envy
Nikolay Oleynikov;1898;1937;editor, avant-garde poet and playwright;
Mikhail Osorgin;1878;1942;journalist, novelist, short story writer and essayist;
Alexander Ostrovsky;1823;1886;major playwright;The Storm
Nikolai Ostrovsky;1904;1936;socialist realist writer;How the Steel Was Tempered
Valentin Ovechkin;1904;1968;writer, playwright, journalist and war correspondent;Greetings from the Front
Vladislav Ozerov;1769;1816;playwright;Dmitry Donskoy
Marina Palei;1955;;scriptwriter, publicist, novelist and translator;Rendezvous
Alexander Palm;1822;1885;poet, novelist and playwright;Petrashevsky Circle member,Alexey Slobodin
Liodor Palmin;1841;1891;poet, translator and journalist;
Ivan Panaev;1812;1862;writer, critic and publisher/editor of Sovremennik magazine;
Avdotya Panaeva;1820;1893;novelist, short story writer and memoirist;
Vera Panova;1905;1973;novelist, short story writer, journalist and playwright;Seryozha
Valentin Parnakh;1891;1951;poet, translator, choreographer and musician, founder of Russian jazz music;
Sophia Parnok;1885;1933;poet, playwright and translator;
Boris Pasternak;1890;1960;poet and novelist, not permitted by the Soviet Union to accept the Nobel Prize;Doctor Zhivago
Pyotr Patrushev;1942;;writer and dissident;
Konstantin Paustovsky;1892;1968;writer;Nobel Prize nominee,Story of a Life
Pyotr Pavlenko;1899;1951;writer;Happiness
Oleg Pavlov;1970;;novelist and short story writer;
Karolina Pavlova;1807;1893;poet and novelist;A Double Life
